Park2000,parkCode,RecreationalVisits2000,NonRecreationalVisits2000,TotalVisits2000,RecreationVisitorHours2000,NonRecreationVisitorHours2000,VisitorDays2000,ConcessionerLodging2000,ConcessionerCamping2000,TentOvernights2000,RecreationVehicleOvernights2000,BackcountryOvernights2000,MiscellaneousOvernights20000,NonRecreationOvernights2000,TotalRecreationVisits2000,TotalNonRecreationVisits2000,SumOfTotalVisits2000,TotalRecreationVisitorHours2000,TotalNonRecreationVisitorHours2000,TotalVisitorDays2000,TotalConcessionerLodging2000,TotalConcessionerCamping2000,TotalTentOvernights2000,TotalRecreationVehicleOvernights2000,TotalBackcountryOvernights2000,TotalMiscellaneousOvernights2000,TotalNonRecreationOvernights2000
Abraham Lincoln Birthplace NHP,ABLI,"239,298",0,"239,298","239,298",0,"19,941",0,0,0,0,0,0,0,"286,618,040","145,834,303","432,452,343","1,279,572,043","79,406,052","106,631,003","3,677,638","1,014,293","3,443,094","2,564,236","1,941,751","2,881,548","363,652"
Acadia NP,ACAD,"2,500,229","252,576","2,752,805","13,416,625","252,576","1,118,052",0,0,"113,502","22,716",0,"9,122",0,"286,618,040","145,834,303","432,452,343","1,279,572,043","79,406,052","106,631,003","3,677,638","1,014,293","3,443,094","2,564,236","1,941,751","2,881,548","363,652"
Adams NHP,ADAM,"84,593","1,160","85,753","76,875",583,"6,406",0,0,0,0,0,0,0,"286,618,040","145,834,303","432,452,343","1,279,572,043","79,406,052","106,631,003","3,677,638","1,014,293","3,443,094","2,564,236","1,941,751","2,881,548","363,652"
Agate Fossil Beds NM,AGFO,"18,031",0,"18,031","43,628",0,"3,635",0,0,0,0,0,0,0,"286,618,040","145,834,303","432,452,343","1,279,572,043","79,406,052","106,631,003","3,677,638","1,014,293","3,443,094","2,564,236","1,941,751","2,881,548","363,652"
Alibates Flint Quarries NM,ALFL,"3,052",0,"3,052","7,633",0,636,0,0,0,0,0,0,0,"286,618,040","145,834,303","432,452,343","1,279,572,043","79,406,052","106,631,003","3,677,638","1,014,293","3,443,094","2,564,236","1,941,751","2,881,548","363,652"
Allegheny Portage Railroad NHS,ALPO,"138,637",180,"138,817","145,862",48,"12,155",0,0,0,0,0,0,0,"286,618,040","145,834,303","432,452,343","1,279,572,043","79,406,052","106,631,003","3,677,638","1,014,293","3,443,094","2,564,236","1,941,751","2,881,548","363,652"
Amistad NRA,AMIS,"1,250,490","1,128","1,251,618","9,450,563","1,128","787,546",0,0,"3,352","15,646","7,061",775,0,"286,618,040","145,834,303","432,452,343","1,279,572,043","79,406,052","106,631,003","3,677,638","1,014,293","3,443,094","2,564,236","1,941,751","2,881,548","363,652"
Andersonville NHS,ANDE,"170,625",0,"170,625","341,250",0,"28,437",0,0,0,0,0,0,0,"286,618,040","145,834,303","432,452,343","1,279,572,043","79,406,052","106,631,003","3,677,638","1,014,293","3,443,094","2,564,236","1,941,751","2,881,548","363,652"
Andrew Johnson NHS,ANJO,"59,515",0,"59,515","34,084",0,"2,840",0,0,0,0,0,0,0,"286,618,040","145,834,303","432,452,343","1,279,572,043","79,406,052","106,631,003","3,677,638","1,014,293","3,443,094","2,564,236","1,941,751","2,881,548","363,652"
Aniakchak NM & PRES,ANIA,266,77,343,"16,674","2,200","1,389",0,0,0,0,657,0,66,"286,618,040","145,834,303","432,452,343","1,279,572,043","79,406,052","106,631,003","3,677,638","1,014,293","3,443,094","2,564,236","1,941,751","2,881,548","363,652"
Antietam NB,ANTI,"291,145",0,"291,145","668,540",0,"55,711",0,0,0,0,0,775,0,"286,618,040","145,834,303","432,452,343","1,279,572,043","79,406,052","106,631,003","3,677,638","1,014,293","3,443,094","2,564,236","1,941,751","2,881,548","363,652"
Apostle Islands NL,APIS,"182,315","1,054","183,369","957,136",267,"79,761",0,0,0,0,"18,445","16,493",0,"286,618,040","145,834,303","432,452,343","1,279,572,043","79,406,052","106,631,003","3,677,638","1,014,293","3,443,094","2,564,236","1,941,751","2,881,548","363,652"
Appomattox Court House NHP,APCO,"194,983",0,"194,983","161,497",0,"13,458",0,0,0,0,0,0,0,"286,618,040","145,834,303","432,452,343","1,279,572,043","79,406,052","106,631,003","3,677,638","1,014,293","3,443,094","2,564,236","1,941,751","2,881,548","363,652"
Arches NP,ARCH,"799,898",0,"799,898","3,582,648",0,"298,554",0,0,"28,887","15,255",656,"4,492",0,"286,618,040","145,834,303","432,452,343","1,279,572,043","79,406,052","106,631,003","3,677,638","1,014,293","3,443,094","2,564,236","1,941,751","2,881,548","363,652"
Arkansas Post NMEM,ARPO,"45,426",0,"45,426","68,160",0,"5,680",0,0,0,0,0,1,0,"286,618,040","145,834,303","432,452,343","1,279,572,043","79,406,052","106,631,003","3,677,638","1,014,293","3,443,094","2,564,236","1,941,751","2,881,548","363,652"
Arlington House The R.E. Lee MEM,ARHO,"356,110",0,"356,110","178,060",0,"14,838",0,0,0,0,0,0,0,"286,618,040","145,834,303","432,452,343","1,279,572,043","79,406,052","106,631,003","3,677,638","1,014,293","3,443,094","2,564,236","1,941,751","2,881,548","363,652"
Assateague Island NS,ASIS,"1,803,138","3,600","1,806,738","15,929,086","3,600","1,327,423",0,0,"52,407","18,231","2,257","14,129",0,"286,618,040","145,834,303","432,452,343","1,279,572,043","79,406,052","106,631,003","3,677,638","1,014,293","3,443,094","2,564,236","1,941,751","2,881,548","363,652"
Aztec Ruins NM,AZRU,"53,245",854,"54,099","79,871","1,669","6,655",0,0,0,0,0,0,0,"286,618,040","145,834,303","432,452,343","1,279,572,043","79,406,052","106,631,003","3,677,638","1,014,293","3,443,094","2,564,236","1,941,751","2,881,548","363,652"
Badlands NP,BADL,"1,107,053","18,864","1,125,917","4,983,471","9,432","415,289","8,447",0,"30,654","15,359","1,038",0,0,"286,618,040","145,834,303","432,452,343","1,279,572,043","79,406,052","106,631,003","3,677,638","1,014,293","3,443,094","2,564,236","1,941,751","2,881,548","363,652"
Bandelier NM,BAND,"273,857",840,"274,697","1,044,728",132,"87,060",0,0,"6,055","2,930","1,957","2,403",0,"286,618,040","145,834,303","432,452,343","1,279,572,043","79,406,052","106,631,003","3,677,638","1,014,293","3,443,094","2,564,236","1,941,751","2,881,548","363,652"
Bent's Old Fort NHS,BEOL,"32,784",0,"32,784","57,374",0,"4,781",0,0,0,0,0,0,0,"286,618,040","145,834,303","432,452,343","1,279,572,043","79,406,052","106,631,003","3,677,638","1,014,293","3,443,094","2,564,236","1,941,751","2,881,548","363,652"
Bering Land Bridge NPRES,BELA,"3,025","4,050","7,075","9,075","32,400",756,0,0,0,0,0,0,0,"286,618,040","145,834,303","432,452,343","1,279,572,043","79,406,052","106,631,003","3,677,638","1,014,293","3,443,094","2,564,236","1,941,751","2,881,548","363,652"
Big Bend NP,BIBE,"278,139","2,364","280,503","8,100,036","7,092","675,003","45,990","10,906","36,658","34,987","36,898","32,993",0,"286,618,040","145,834,303","432,452,343","1,279,572,043","79,406,052","106,631,003","3,677,638","1,014,293","3,443,094","2,564,236","1,941,751","2,881,548","363,652"
Big Cypress NPRES,BICY,"521,887",0,"521,887","1,622,904",0,"135,242",0,0,"4,799","13,891","10,289",0,0,"286,618,040","145,834,303","432,452,343","1,279,572,043","79,406,052","106,631,003","3,677,638","1,014,293","3,443,094","2,564,236","1,941,751","2,881,548","363,652"
Big Hole NB,BIHO,"40,650",0,"40,650","55,583",0,"4,631",0,0,0,0,0,0,0,"286,618,040","145,834,303","432,452,343","1,279,572,043","79,406,052","106,631,003","3,677,638","1,014,293","3,443,094","2,564,236","1,941,751","2,881,548","363,652"
Big South Fork NRRA,BISO,"865,343",0,"865,343","6,131,530",0,"510,960","16,788",0,"12,912","25,188","6,031","3,872",0,"286,618,040","145,834,303","432,452,343","1,279,572,043","79,406,052","106,631,003","3,677,638","1,014,293","3,443,094","2,564,236","1,941,751","2,881,548","363,652"
Big Thicket NPRES,BITH,"64,493",0,"64,493","233,869",0,"19,489",0,0,0,0,"1,551",0,0,"286,618,040","145,834,303","432,452,343","1,279,572,043","79,406,052","106,631,003","3,677,638","1,014,293","3,443,094","2,564,236","1,941,751","2,881,548","363,652"
Bighorn Canyon NRA,BICA,"238,579","6,900","245,479","934,946","3,455","77,912",0,0,"4,601","9,788",580,0,0,"286,618,040","145,834,303","432,452,343","1,279,572,043","79,406,052","106,631,003","3,677,638","1,014,293","3,443,094","2,564,236","1,941,751","2,881,548","363,652"
Biscayne NP,BISC,"389,176",0,"389,176","1,167,528",0,"97,294",0,0,0,0,0,0,0,"286,618,040","145,834,303","432,452,343","1,279,572,043","79,406,052","106,631,003","3,677,638","1,014,293","3,443,094","2,564,236","1,941,751","2,881,548","363,652"
Black Canyon of the Gunnison NP,BLCA,"199,155",0,"199,155","1,011,603",0,"84,300",0,0,"7,343","3,847","2,392",0,0,"286,618,040","145,834,303","432,452,343","1,279,572,043","79,406,052","106,631,003","3,677,638","1,014,293","3,443,094","2,564,236","1,941,751","2,881,548","363,652"
Blue Ridge PKWY,BLRI,"19,399,689","1,942,260","21,341,949","120,608,166","971,136","10,050,680","58,792","12,552","53,405","42,751","6,624","1,294",0,"286,618,040","145,834,303","432,452,343","1,279,572,043","79,406,052","106,631,003","3,677,638","1,014,293","3,443,094","2,564,236","1,941,751","2,881,548","363,652"
Bluestone NSR,BLUE,"52,212",0,"52,212","130,533",0,"10,877",0,0,0,0,0,0,0,"286,618,040","145,834,303","432,452,343","1,279,572,043","79,406,052","106,631,003","3,677,638","1,014,293","3,443,094","2,564,236","1,941,751","2,881,548","363,652"
Booker T. Washington NM,BOWA,"21,453",84,"21,537","44,553",12,"3,712",0,0,0,0,0,0,0,"286,618,040","145,834,303","432,452,343","1,279,572,043","79,406,052","106,631,003","3,677,638","1,014,293","3,443,094","2,564,236","1,941,751","2,881,548","363,652"
Boston African American NHS,BOAF,"392,979",0,"392,979","128,068",0,"10,672",0,0,0,0,0,0,0,"286,618,040","145,834,303","432,452,343","1,279,572,043","79,406,052","106,631,003","3,677,638","1,014,293","3,443,094","2,564,236","1,941,751","2,881,548","363,652"
Boston NHP,BOST,"2,465,418","65,520","2,530,938","2,900,680","11,140","241,723",0,0,0,0,0,0,0,"286,618,040","145,834,303","432,452,343","1,279,572,043","79,406,052","106,631,003","3,677,638","1,014,293","3,443,094","2,564,236","1,941,751","2,881,548","363,652"
Bryce Canyon NP,BRCA,"1,106,620","547,829","1,654,449","8,836,853","164,350","736,404","46,601",0,"39,209","61,952","2,270","1,914",0,"286,618,040","145,834,303","432,452,343","1,279,572,043","79,406,052","106,631,003","3,677,638","1,014,293","3,443,094","2,564,236","1,941,751","2,881,548","363,652"
Buffalo NR,BUFF,"745,790",0,"745,790","5,932,432",0,"494,369","6,121",0,"66,504","18,899","37,770","14,001",0,"286,618,040","145,834,303","432,452,343","1,279,572,043","79,406,052","106,631,003","3,677,638","1,014,293","3,443,094","2,564,236","1,941,751","2,881,548","363,652"
Cabrillo NM,CABR,"1,172,084","81,794","1,253,878","1,707,189","20,448","142,265",0,0,0,0,0,0,0,"286,618,040","145,834,303","432,452,343","1,279,572,043","79,406,052","106,631,003","3,677,638","1,014,293","3,443,094","2,564,236","1,941,751","2,881,548","363,652"
Canaveral NS,CANA,"1,070,624",0,"1,070,624","2,729,920",0,"227,493",0,0,0,0,"2,662",0,0,"286,618,040","145,834,303","432,452,343","1,279,572,043","79,406,052","106,631,003","3,677,638","1,014,293","3,443,094","2,564,236","1,941,751","2,881,548","363,652"
