Park2019,parkCode,RecreationalVisits2019,NonRecreationalVisits2019,TotalVisits2019,RecreationVisitorHours2019,NonRecreationVisitorHours2019,VisitorDays2019,ConcessionerLodging2019,ConcessionerCamping2019,TentOvernights2019,RecreationVehicleOvernights2019,BackcountryOvernights2019,MiscellaneousOvernights2019,NonRecreationOvernights2019,TotalRecreationVisits2019,TotalNonRecreationVisits2019,SumOfTotalVisits2019,TotalRecreationVisitorHours2019,TotalNonRecreationVisitorHours2019,TotalVisitorDays2019,TotalConcessionerLodging2019,TotalConcessionerCamping2019,TotalTentOvernights2019,TotalRecreationVehicleOvernights2019,TotalBackcountryOvernights2019,TotalMiscellaneousOvernights2019,TotalNonRecreationOvernights2019
Abraham Lincoln Birthplace NHP,ABLI,"230,666",0,"230,666","230,666",0,"19,222",0,0,0,0,0,0,0,"323,265,923","168,429,126","491,695,049","1,413,762,728","92,171,939","117,813,560","3,181,747","1,219,465","3,470,298","2,422,533","1,924,536","1,370,640","30,131"
Acadia NP,ACAD,"3,484,042","47,100","3,531,142","23,043,108","47,100","1,920,258",0,965,"139,314","56,799","1,263","11,715",0,"323,265,923","168,429,126","491,695,049","1,413,762,728","92,171,939","117,813,560","3,181,747","1,219,465","3,470,298","2,422,533","1,924,536","1,370,640","30,131"
Adams NHP,ADAM,"185,002",210,"185,212","184,651",105,"15,387",0,0,0,0,0,0,0,"323,265,923","168,429,126","491,695,049","1,413,762,728","92,171,939","117,813,560","3,181,747","1,219,465","3,470,298","2,422,533","1,924,536","1,370,640","30,131"
African Burial Ground NM,AFBG,"43,398",0,"43,398","30,202",0,"2,516",0,0,0,0,0,0,0,"323,265,923","168,429,126","491,695,049","1,413,762,728","92,171,939","117,813,560","3,181,747","1,219,465","3,470,298","2,422,533","1,924,536","1,370,640","30,131"
Agate Fossil Beds NM,AGFO,"16,836",0,"16,836","38,135",0,"3,177",0,0,0,0,0,0,0,"323,265,923","168,429,126","491,695,049","1,413,762,728","92,171,939","117,813,560","3,181,747","1,219,465","3,470,298","2,422,533","1,924,536","1,370,640","30,131"
Alibates Flint Quarries NM,ALFL,"8,417",0,"8,417","21,042",0,"1,753",0,0,0,0,0,0,0,"323,265,923","168,429,126","491,695,049","1,413,762,728","92,171,939","117,813,560","3,181,747","1,219,465","3,470,298","2,422,533","1,924,536","1,370,640","30,131"
Allegheny Portage Railroad NHS,ALPO,"186,567",180,"186,747","286,691",48,"23,890",0,0,0,0,0,0,0,"323,265,923","168,429,126","491,695,049","1,413,762,728","92,171,939","117,813,560","3,181,747","1,219,465","3,470,298","2,422,533","1,924,536","1,370,640","30,131"
Amistad NRA,AMIS,"1,137,657","1,128","1,138,785","8,325,754","1,128","693,812",0,0,0,"9,554",0,"1,605",0,"323,265,923","168,429,126","491,695,049","1,413,762,728","92,171,939","117,813,560","3,181,747","1,219,465","3,470,298","2,422,533","1,924,536","1,370,640","30,131"
Andersonville NHS,ANDE,"104,227",0,"104,227","208,454",0,"17,371",0,0,0,0,0,0,0,"323,265,923","168,429,126","491,695,049","1,413,762,728","92,171,939","117,813,560","3,181,747","1,219,465","3,470,298","2,422,533","1,924,536","1,370,640","30,131"
Andrew Johnson NHS,ANJO,"51,092",0,"51,092","27,849",0,"2,320",0,0,0,0,0,0,0,"323,265,923","168,429,126","491,695,049","1,413,762,728","92,171,939","117,813,560","3,181,747","1,219,465","3,470,298","2,422,533","1,924,536","1,370,640","30,131"
Aniakchak NM & PRES,ANIA,100,0,100,"5,520",0,460,0,0,0,0,230,0,0,"323,265,923","168,429,126","491,695,049","1,413,762,728","92,171,939","117,813,560","3,181,747","1,219,465","3,470,298","2,422,533","1,924,536","1,370,640","30,131"
Antietam NB,ANTI,"289,416",0,"289,416","610,756",0,"50,896",0,0,0,0,0,412,0,"323,265,923","168,429,126","491,695,049","1,413,762,728","92,171,939","117,813,560","3,181,747","1,219,465","3,470,298","2,422,533","1,924,536","1,370,640","30,131"
Apostle Islands NL,APIS,"244,252","2,056","246,308","793,751",514,"66,145",0,0,0,0,"7,465","7,644",0,"323,265,923","168,429,126","491,695,049","1,413,762,728","92,171,939","117,813,560","3,181,747","1,219,465","3,470,298","2,422,533","1,924,536","1,370,640","30,131"
Appomattox Court House NHP,APCO,"99,487",0,"99,487","144,495",0,"12,041",0,0,0,0,0,0,0,"323,265,923","168,429,126","491,695,049","1,413,762,728","92,171,939","117,813,560","3,181,747","1,219,465","3,470,298","2,422,533","1,924,536","1,370,640","30,131"
Arches NP,ARCH,"1,661,167",0,"1,661,167","5,916,117",0,"493,009",0,0,"18,647","16,228",395,"3,589",0,"323,265,923","168,429,126","491,695,049","1,413,762,728","92,171,939","117,813,560","3,181,747","1,219,465","3,470,298","2,422,533","1,924,536","1,370,640","30,131"
Arkansas Post NMEM,ARPO,"28,644",0,"28,644","42,968",0,"3,580",0,0,0,0,0,0,0,"323,265,923","168,429,126","491,695,049","1,413,762,728","92,171,939","117,813,560","3,181,747","1,219,465","3,470,298","2,422,533","1,924,536","1,370,640","30,131"
Arlington House The R.E. Lee MEM,ARHO,0,0,0,0,0,0,0,0,0,0,0,0,0,"323,265,923","168,429,126","491,695,049","1,413,762,728","92,171,939","117,813,560","3,181,747","1,219,465","3,470,298","2,422,533","1,924,536","1,370,640","30,131"
Assateague Island NS,ASIS,"2,315,132","3,600","2,318,732","19,694,161","3,600","1,641,180",0,0,"41,162","24,292","1,620","11,093",0,"323,265,923","168,429,126","491,695,049","1,413,762,728","92,171,939","117,813,560","3,181,747","1,219,465","3,470,298","2,422,533","1,924,536","1,370,640","30,131"
Aztec Ruins NM,AZRU,"60,917","2,444","63,361","91,375","2,444","7,614",0,0,0,0,0,0,0,"323,265,923","168,429,126","491,695,049","1,413,762,728","92,171,939","117,813,560","3,181,747","1,219,465","3,470,298","2,422,533","1,924,536","1,370,640","30,131"
Badlands NP,BADL,"968,650","59,390","1,028,040","4,178,071","29,695","348,172","6,942","19,516","3,512",887,"2,504",0,0,"323,265,923","168,429,126","491,695,049","1,413,762,728","92,171,939","117,813,560","3,181,747","1,219,465","3,470,298","2,422,533","1,924,536","1,370,640","30,131"
Bandelier NM,BAND,"198,529",840,"199,369","936,558",216,"78,046",0,0,"4,945","6,612",643,"5,741",0,"323,265,923","168,429,126","491,695,049","1,413,762,728","92,171,939","117,813,560","3,181,747","1,219,465","3,470,298","2,422,533","1,924,536","1,370,640","30,131"
Belmont-Paul Women's Equality NM,BEPA,"9,298",0,"9,298","8,512",0,709,0,0,0,0,0,0,0,"323,265,923","168,429,126","491,695,049","1,413,762,728","92,171,939","117,813,560","3,181,747","1,219,465","3,470,298","2,422,533","1,924,536","1,370,640","30,131"
Bent's Old Fort NHS,BEOL,"22,069",0,"22,069","38,621",0,"3,218",0,0,0,0,0,0,0,"323,265,923","168,429,126","491,695,049","1,413,762,728","92,171,939","117,813,560","3,181,747","1,219,465","3,470,298","2,422,533","1,924,536","1,370,640","30,131"
Bering Land Bridge NPRES,BELA,"2,642","1,128","3,770","7,926","9,024",660,0,0,0,0,"1,123",0,482,"323,265,923","168,429,126","491,695,049","1,413,762,728","92,171,939","117,813,560","3,181,747","1,219,465","3,470,298","2,422,533","1,924,536","1,370,640","30,131"
Big Bend NP,BIBE,"449,827","2,364","452,191","10,078,443","7,092","839,870","49,181","12,746","51,791","25,608","21,078","34,618",0,"323,265,923","168,429,126","491,695,049","1,413,762,728","92,171,939","117,813,560","3,181,747","1,219,465","3,470,298","2,422,533","1,924,536","1,370,640","30,131"
Big Cypress NPRES,BICY,"924,715",0,"924,715","2,963,647",0,"246,970",0,0,"1,880","8,268","3,446",0,0,"323,265,923","168,429,126","491,695,049","1,413,762,728","92,171,939","117,813,560","3,181,747","1,219,465","3,470,298","2,422,533","1,924,536","1,370,640","30,131"
Big Hole NB,BIHO,"43,872",0,"43,872","65,281",0,"5,440",0,0,0,0,0,0,0,"323,265,923","168,429,126","491,695,049","1,413,762,728","92,171,939","117,813,560","3,181,747","1,219,465","3,470,298","2,422,533","1,924,536","1,370,640","30,131"
Big South Fork NRRA,BISO,"755,630",0,"755,630","5,301,957",0,"441,829","2,673",0,"6,564","30,266","8,083","2,826",0,"323,265,923","168,429,126","491,695,049","1,413,762,728","92,171,939","117,813,560","3,181,747","1,219,465","3,470,298","2,422,533","1,924,536","1,370,640","30,131"
Big Thicket NPRES,BITH,"244,065",0,"244,065","797,455",0,"66,454",0,0,0,0,"1,293",0,0,"323,265,923","168,429,126","491,695,049","1,413,762,728","92,171,939","117,813,560","3,181,747","1,219,465","3,470,298","2,422,533","1,924,536","1,370,640","30,131"
Bighorn Canyon NRA,BICA,"254,124","6,900","261,024","1,035,587","3,447","86,298",0,"9,404",11,327,0,0,0,"323,265,923","168,429,126","491,695,049","1,413,762,728","92,171,939","117,813,560","3,181,747","1,219,465","3,470,298","2,422,533","1,924,536","1,370,640","30,131"
Biscayne NP,BISC,"643,368",0,"643,368","2,032,752",0,"169,395",0,0,603,0,0,"3,674",0,"323,265,923","168,429,126","491,695,049","1,413,762,728","92,171,939","117,813,560","3,181,747","1,219,465","3,470,298","2,422,533","1,924,536","1,370,640","30,131"
Black Canyon of the Gunnison NP,BLCA,"426,336",0,"426,336","2,160,919",0,"180,076",0,0,"17,828","11,572","1,871",0,0,"323,265,923","168,429,126","491,695,049","1,413,762,728","92,171,939","117,813,560","3,181,747","1,219,465","3,470,298","2,422,533","1,924,536","1,370,640","30,131"
Blue Ridge PKWY,BLRI,"14,864,684","1,942,260","16,806,944","93,023,352","971,136","7,751,946","51,469",0,"64,816","40,971","1,252","1,294",0,"323,265,923","168,429,126","491,695,049","1,413,762,728","92,171,939","117,813,560","3,181,747","1,219,465","3,470,298","2,422,533","1,924,536","1,370,640","30,131"
Bluestone NSR,BLUE,"37,304",0,"37,304","93,262",0,"7,771",0,0,0,0,0,0,0,"323,265,923","168,429,126","491,695,049","1,413,762,728","92,171,939","117,813,560","3,181,747","1,219,465","3,470,298","2,422,533","1,924,536","1,370,640","30,131"
Booker T. Washington NM,BOWA,"22,949",84,"23,033","46,076",12,"3,839",0,0,0,0,0,0,0,"323,265,923","168,429,126","491,695,049","1,413,762,728","92,171,939","117,813,560","3,181,747","1,219,465","3,470,298","2,422,533","1,924,536","1,370,640","30,131"
Boston African American NHS,BOAF,"419,508",0,"419,508","839,016",0,"69,918",0,0,0,0,0,0,0,"323,265,923","168,429,126","491,695,049","1,413,762,728","92,171,939","117,813,560","3,181,747","1,219,465","3,470,298","2,422,533","1,924,536","1,370,640","30,131"
Boston NHP,BOST,"3,237,952","59,040","3,296,992","2,620,397","10,039","218,366",0,0,0,0,0,0,0,"323,265,923","168,429,126","491,695,049","1,413,762,728","92,171,939","117,813,560","3,181,747","1,219,465","3,470,298","2,422,533","1,924,536","1,370,640","30,131"
Brown v. Board of Education NHS,BRVB,"20,424",0,"20,424","40,848",0,"3,404",0,0,0,0,0,0,0,"323,265,923","168,429,126","491,695,049","1,413,762,728","92,171,939","117,813,560","3,181,747","1,219,465","3,470,298","2,422,533","1,924,536","1,370,640","30,131"
Bryce Canyon NP,BRCA,"2,598,020","416,638","3,014,658","12,665,614","124,992","1,055,467","51,050",0,"29,948","23,472","1,338",334,0,"323,265,923","168,429,126","491,695,049","1,413,762,728","92,171,939","117,813,560","3,181,747","1,219,465","3,470,298","2,422,533","1,924,536","1,370,640","30,131"
Buck Island Reef NM,BUIS,"38,375",0,"38,375","227,200",0,"18,933",0,0,0,0,0,"3,840",0,"323,265,923","168,429,126","491,695,049","1,413,762,728","92,171,939","117,813,560","3,181,747","1,219,465","3,470,298","2,422,533","1,924,536","1,370,640","30,131"
Buffalo NR,BUFF,"1,313,929",0,"1,313,929","6,489,355",0,"540,779","2,914",0,"37,147","10,488","20,174","12,665",0,"323,265,923","168,429,126","491,695,049","1,413,762,728","92,171,939","117,813,560","3,181,747","1,219,465","3,470,298","2,422,533","1,924,536","1,370,640","30,131"
