parkCode,parkType,Region
ABLI,National Historical Park,Southeast 
ACAD,National Park,Northeast 
ADAM,National Historical Park,Northeast 
AFBG,National Monument,Northeast 
AGFO,National Monument,Midwest 
ALFL,National Monument,Intermountain 
ALPO,National Historic Site,Northeast 
AMIS,National Recreation Area,Intermountain 
ANDE,National Historic Site,Southeast 
ANJO,National Historic Site,Southeast 
ANIA,National Monument,Alaska
ANTI,National Battlefield,National Capital 
APIS,National Lakeshore,Midwest 
APCO,National Historical Park,Northeast 
ARCH,National Park,Intermountain 
ARPO,National Memorial,Midwest 
ARHO,National Memorial,National Capital 
ASIS,National Seashore,Northeast 
AZRU,National Monument,Intermountain 
BADL,National Park,Midwest 
BAND,National Monument,Intermountain 
BEPA,National Monument,National Capital 
BEOL,National Historic Site,Intermountain 
BELA,National Preserve,Alaska
BIBE,National Park,Intermountain 
BICY,National Preserve,Southeast 
BIHO,National Battlefield,Pacific West 
BISO,National River,Southeast 
BITH,National Preserve,Intermountain 
BICA,National Recreation Area,Intermountain 
BISC,National Park,Southeast 
BLCA,National Park,Intermountain 
BLRI,National Parkway,Southeast 
BLUE,National Wild & Scenic River,Northeast 
BOWA,National Monument,Northeast 
BOAF,National Historic Site,Northeast 
BOST,National Historical Park,Northeast 
BRVB,National Historic Site,Midwest 
BRCA,National Park,Intermountain 
BUIS,National Monument,Southeast 
BUFF,National River,Midwest 
CABR,National Monument,Pacific West 
CANA,National Seashore,Southeast 
CARI,National Historical Park,Southeast 
CACH,National Monument,Intermountain 
CANY,National Park,Intermountain 
CACO,National Seashore,Northeast 
CAHA,National Seashore,Southeast 
CAKR,National Monument,Alaska
CALO,National Seashore,Southeast 
CARE,National Park,Intermountain 
CAVO,National Monument,Intermountain 
CARL,National Historic Site,Southeast 
CAVE,National Park,Intermountain 
CAWO,National Historic Site,National Capital 
CAGR,National Monument,Intermountain 
CASA,National Monument,Southeast 
CACL,National Monument,Northeast 
CATO,Park (Other),National Capital 
CEBR,National Monument,Intermountain 
CECH,National Monument,Pacific West 
CHCU,National Historical Park,Intermountain 
CHAM,National Memorial,Intermountain 
CHIS,National Park,Pacific West 
CHPI,National Historic Site,Southeast 
CHYO,National Monument,Midwest 
CHAT,National Recreation Area,Southeast 
CHOH,National Historical Park,National Capital 
CHCH,National Military Park,Southeast 
CHIC,National Recreation Area,Intermountain 
CHIR,National Monument,Intermountain 
CHRI,National Historic Site,Southeast 
CIRO,National Reserve,Pacific West 
CLBA,National Historic Site,National Capital 
COLO,National Historical Park,Northeast 
COLM,National Monument,Intermountain 
